rag_accuracy,rag_latency,rag_match,context_key,rag_context_key,prompt
0.8666666666666667,0.009507921524345875,1,SplitRPC-sigmetrics23,SplitRPC-sigmetrics23,What are the two distinct paths SplitRPC separates in RPC processing?
0.8666666666666667,0.004278765060007572,1,SplitRPC-sigmetrics23,SplitRPC-sigmetrics23,"How does SplitRPC reduce RPC overhead (""RPC tax"")?"
0.8666666666666667,0.004013746045529842,0,extra-oss-monitoring,SplitRPC-sigmetrics23,What are the key differences in memory usage among the evaluated tools?
0.8666666666666667,0.00417169276624918,1,SplitRPC-sigmetrics23,SplitRPC-sigmetrics23,How does SplitRPC handle incoming network packets?
0.8666666666666667,0.003942095674574375,1,aplomb-sigcomm12,aplomb-sigcomm12,What addressing models does APLOMB support?
0.8666666666666667,0.008162979036569595,1,extra-biology,extra-biology,Why are epigenetic changes considered promising targets for therapies?
0.8666666666666667,0.004291021265089512,1,extra-biology,extra-biology,"What are non-coding RNAs, and what is their function in epigenetics?"
0.8666666666666667,0.003933100961148739,1,extra-biology,extra-biology,Why is epigenetics important for explaining cellular diversity?
0.8666666666666667,0.0041525475680828094,1,extra-estimate-performance,extra-estimate-performance,How does PAPE handle calibration of probability estimates for performance estimation?
0.8666666666666667,0.004332954064011574,1,extra-estimate-performance,extra-estimate-performance,How does PAPE perform when the production data contains regions not covered by the reference data?
0.8666666666666667,0.004296150058507919,1,extra-estimate-performance,extra-estimate-performance,Which machine learning models were used in the evaluation of PAPE?
0.8666666666666667,0.003961470909416676,0,aplomb-sigcomm12,extra-estimate-performance,What metrics show APLOMB's acceptable performance?
0.8666666666666667,0.00775156170129776,1,extra-finance,extra-finance,What is one way digital banks enhance security for their users?
0.8666666666666667,0.004006809554994106,1,extra-finance,extra-finance,Name two technological advancements that have driven the adoption of digital banking.
0.8666666666666667,0.004045931622385979,1,extra-leonardo,extra-leonardo,Which technique did Leonardo use in the Mona Lisa to create depth and realism?
0.8666666666666667,0.004043568857014179,1,extra-leonardo,extra-leonardo,What does the report identify as the driving forces behind Leonardo’s art?
0.8666666666666667,0.0040391236543655396,1,extra-leonardo,extra-leonardo,"Which two professions, besides painting, is Leonardo da Vinci noted for in the report?"
0.8666666666666667,0.004127407446503639,0,aplomb-sigcomm12,extra-leonardo,What are APLOMB's three architectural components?
0.8666666666666667,0.004060767590999603,1,extra-music,extra-music,What neurotransmitter is released when music stimulates the brain’s reward system?
0.8666666666666667,0.004115668125450611,0,extra-finance,extra-music,What is the main topic of the report?
0.8666666666666667,0.003912834450602531,1,extra-music,extra-music,How does engaging with music foster social bonds?
0.8666666666666667,0.0040372079238295555,1,extra-music,extra-music,"What is the main conclusion about music’s role in human life, according to the report?"
0.8666666666666667,0.004061339423060417,1,extra-oss-monitoring,extra-oss-monitoring,What future research directions are suggested by the authors regarding drift detection methods?
0.8666666666666667,0.0040725963190197945,1,extra-oss-monitoring,extra-oss-monitoring,What kind of data and drift does UC1 (Occupancy Detection) focus on?
0.8666666666666667,0.004300045780837536,1,metron-nsdi18,metron-nsdi18,What throughput does Metron achieve for Deep Packet Inspection (DPI)?
0.8666666666666667,0.004040583036839962,1,metron-nsdi18,metron-nsdi18,What challenge in NFV does Metron address according to the introduction?
0.8666666666666667,0.004027455113828182,1,metron-nsdi18,metron-nsdi18,What role do programmable switches and NICs play in Metron's architecture?
0.8666666666666667,0.004374254494905472,1,sigcomm24-crux,sigcomm24-crux,What GPU utilization gain and JCT reduction were observed in the 96-GPU testbed?
0.8666666666666667,0.004034650512039661,1,sigcomm24-crux,sigcomm24-crux,What factors does Crux consider when assigning communication priorities to jobs?
0.8666666666666667,0.004011699929833412,1,sigcomm24-crux,sigcomm24-crux,How might fairness concerns in Crux's priority system be addressed?
